iteration,plain PH::zc,w_damping x0.5::zc,rho reduction (geom x0.7)::zc,W reset + rho x0.5::zc,W average over cycle::zc,"prox-boost (x10, 5 iters, one-shot)::zc","prox-refire (x10, 5 iters, cooldown 5)::zc","prox-hold (x10, held to end)::zc","prox-escalate (x10 base, x2/5 iters)::zc","smoothing (r=0.1, b=0.2)::zc",fix (slam analogue)::zc,plain PH::gap,w_damping x0.5::gap,rho reduction (geom x0.7)::gap,W reset + rho x0.5::gap,W average over cycle::gap,"prox-boost (x10, 5 iters, one-shot)::gap","prox-refire (x10, 5 iters, cooldown 5)::gap","prox-hold (x10, held to end)::gap","prox-escalate (x10 base, x2/5 iters)::gap","smoothing (r=0.1, b=0.2)::gap",fix (slam analogue)::gap
56,11,11,6,15,9,11,13,14,,16,,23.333,40.889,21951.778,204.222,214.222,26.222,90.222,10.0,,1102.222,
57,9,11,5,15,9,11,13,14,,16,,50.889,24.889,23563.333,190.889,173.111,20.222,101.111,14.667,,817.778,
58,11,11,6,15,9,11,13,14,,16,,38.667,16.444,31876.0,218.444,346.667,44.222,42.0,18.0,,668.0,
59,11,11,6,15,9,11,13,14,,17,,20.0,28.222,24570.889,206.889,303.333,20.667,154.889,32.444,,605.556,
60,11,11,6,15,9,9,11,13,,17,,21.778,18.667,20711.556,282.889,306.889,44.667,65.778,42.222,,520.889,
61,10,11,6,15,9,9,11,13,,16,,14.667,23.778,20829.778,203.556,216.667,47.778,26.0,46.889,,705.111,
62,10,10,6,16,9,9,11,13,,16,,11.111,18.889,24333.333,231.111,199.333,22.444,10.0,21.333,,720.444,
63,10,9,6,16,9,9,11,14,,16,,3.556,13.778,14113.778,257.333,157.778,30.889,8.889,29.333,,642.889,
64,10,9,6,16,9,9,11,14,,16,,41.111,8.444,18082.222,167.333,120.667,36.0,7.778,20.0,,591.333,
65,10,9,6,16,9,9,11,13,,17,,40.667,14.889,30841.111,189.778,119.333,33.111,6.889,17.556,,1325.111,
66,10,9,5,16,9,9,11,13,,18,,10.222,16.444,21665.778,275.333,111.333,34.444,57.111,21.778,,954.0,
67,11,9,6,14,9,9,11,13,,18,,11.556,47.111,25270.667,236.889,108.0,64.889,60.222,16.222,,596.889,
68,11,9,8,13,9,9,11,13,,18,,15.556,27.333,19544.0,137.556,532.667,34.667,41.556,14.222,,478.444,
69,11,9,8,13,9,9,11,13,,18,,7.778,25.333,14298.889,136.0,490.444,32.667,45.333,15.778,,512.889,
70,11,9,8,13,11,9,11,13,,18,,37.556,43.778,14129.778,185.556,337.111,28.222,17.778,23.556,,514.667,
71,9,9,8,13,12,9,11,13,,17,,55.111,27.333,23161.333,190.444,265.111,25.778,9.778,28.0,,1378.889,
72,9,9,8,13,11,9,11,13,,17,,86.0,17.111,19500.0,174.222,204.222,33.556,7.111,21.556,,2284.0,
73,9,9,8,13,11,9,11,13,,17,,8.444,34.0,12681.333,139.556,115.778,22.222,9.111,14.889,,1251.333,
74,9,9,8,13,11,9,11,13,,21,,10.444,47.556,35123.111,147.556,120.889,31.556,8.444,27.778,,856.0,
75,9,9,8,13,11,9,11,13,,21,,42.444,53.556,19672.0,167.556,109.778,56.667,7.556,34.667,,501.556,
76,9,9,8,13,11,8,11,13,,17,,40.444,52.667,14111.111,128.667,91.111,35.111,32.889,32.889,,500.444,
77,9,9,6,13,11,8,11,13,,17,,7.111,37.556,14111.111,104.444,44.444,46.444,20.889,23.556,,506.0,
78,9,9,6,13,11,8,11,13,,17,,7.556,16.222,32220.889,96.0,75.111,26.444,26.0,13.111,,504.222,
79,9,9,6,13,11,8,9,13,,17,,42.0,23.333,32436.889,144.0,60.444,24.0,16.444,22.0,,1249.333,
80,9,9,6,13,11,8,9,13,,17,,41.333,18.667,19591.111,114.444,45.556,39.111,22.222,26.889,,651.333,
